FILE: 第三套/04评分标准/印制电路制作工赛项_评分标准（第三套）.xlsx
SHEETS: ['评分表']

===== SHEET: 评分表  dims=A1:G37 max_row=37 max_col=7 =====
MERGED: A37:G37 | B11:E11 | B20:E20 | B2:E2 | B4:E4
模块 | 模块内容 | M=测量分J=评价分 | 测量或评价内容 | 测量依据 | 最高分 | 得分
A | 理论测试（竞赛平台） |  |  |  | 30 | 
 | 平台测试成绩折算 | M | 竞赛平台理论测试卷面满分100分，按技术文件折算计入总成绩：模块A得分＝平台卷面得分×0.30（保留两位小数，四舍五入）。题型题量以平台及赛前公布为准（0721参考：单选40+多选30+判断30）。 | 平台导出成绩 | 30 | 
B | EDA工程设计 |  |  |  | 25 | 
 | 评价分（合计20） | J | 布局合理性：0～3档（无分组/基本分组/模块化清晰/专业美观EMC）。三名裁判独立给档后取平均，换算为满分10分：得分＝(平均档÷3)×10。 | 现场/提交文件评审 | 10 | 
 |  | J | 布线策略：0～3档（杂乱/基本整齐/策略明确/专业高速回流）。换算为满分10分：得分＝(平均档÷3)×10。 | 现场/提交文件评审 | 10 | 
 | 测量分（合计5） | M | DRC检查：无错误或违规数在允许范围内；有致命错误不得分。 | EDA软件DRC | 1.5 | 
 |  | M | 网络连通/网表一致性：关键网络连通，原理图与PCB一致；严重开路或错连不得分。 | 工程文件检查 | 1.5 | 
 |  | M | Gerber完整性：规定层齐全、可正常打开；缺关键层按比例扣完为止。 | Gerber包 | 1 | 
 |  | M | 提交规范：文件命名、目录、格式符合赛题要求。 | 提交物检查 | 1 | 
C | CAM审核与工艺文件编制 |  |  |  | 20 | 
 | 缺陷识别（合计14） | M | 标准缺陷共12处（锁版《模块C_缺陷记录表-参考答案》）。每处最高1.0分：类型对+层/面对+位置可对应＝1.0；类型对+层对但位置含糊＝0.5；类型错/层错/指错＝0。 | 缺陷记录表+标准答案 | 12 | 
 |  | M | 无严重误报（2分）：不在标准清单且非同义描述的计误报；每处误报扣1.0分，扣完为止；不倒扣命中分。多写干扰项不另加分。 | 缺陷记录表 | 2 | 
 | 工艺卡（合计6） | M | 层数正确（双面/2层）。 | 工艺卡+Gerbv | 1 | 
 |  | M | 外形尺寸（长×宽）与板框实测一致（允许合理误差，如±0.5mm或等价mil）。 | 工艺卡+Gerbv | 1 | 
 |  | M | 最小孔径与钻孔最小工具一致（如约12mil/0.30mm）。 | 工艺卡+钻孔文件 | 1 | 
 |  | M | 最小线宽与最小线距（正常区）合理；不得将故意缺陷极值填为规格。 | 工艺卡+Gerbv | 1 | 
 |  | M | 阻焊开窗方式表述正确（如1:1开窗）。 | 工艺卡+阻焊/铜层对照 | 1 | 
 |  | M | 文件完整性与事实一致（本套须指出缺少底层丝印GBO等）。 | 工艺卡+文件包 | 1 | 
D | 成品板质量检测与缺陷分析 |  |  |  | 25 | 
 | 外观缺陷（合计10） | M | V01 走线颈缩（顶层）。顶层+颈缩/变窄类+位置大致正确；建议全对2/部分1/错0 | 检测记录表+实物+标准答案 | 2 | 
 |  | M | V02 过孔内径过小（钻孔层）。钻孔层+内径过小+位置大致正确；非3.50mm定位孔误报 | 检测记录表+实物+标准答案 | 2 | 
 |  | M | V03 漏钻孔（钻孔层）。有丝印无钻孔+位置大致正确；非过孔误报 | 检测记录表+实物+标准答案 | 2 | 
 |  | M | V04 无法形成有效阻焊桥（顶层）。阻焊/桥类缺陷+位置大致正确 | 检测记录表+实物+标准答案 | 2 | 
 |  | M | V05 丝印缺失或压焊盘。丝印类缺陷+位置大致正确 | 检测记录表+实物+标准答案 | 2 | 
 | 尺寸测量（合计7） | M | M01 板长L。卡尺；名义80.00±0.20 | 检测记录表+量具+锁版真值 | 1 | 
 |  | M | M02 板宽W。卡尺；名义60.00±0.20 | 检测记录表+量具+锁版真值 | 1 | 
 |  | M | M03 板厚T。厚度规/千分尺；名义1.60±0.15 | 检测记录表+量具+锁版真值 | 1 | 
 |  | M | M04 定位孔径。卡尺/孔规；名义3.50±0.10（本套板） | 检测记录表+量具+锁版真值 | 1 | 
 |  | M | M05 指定点线宽或线距。测量显微镜；以板面M05标识为准；±0.05；禁止仅用卡尺测细线 | 检测记录表+量具+锁版真值 | 3 | 
 | 基础电气（合计5） | M | E01 TP1－TP2开路：判定开路且与预期一致（如≥1MΩ或OL）得2.5分，否则0分。 | 万用表+标准答案 | 2.5 | 
 |  | M | E02 TP3－TP4短路：判定短路且与预期一致（如≤1Ω）得2.5分，否则0分。 | 万用表+标准答案 | 2.5 | 
 | 综合判定（合计2） | J | 分类汇总基本合理得1分；质量处置与依据正确得1分。存在走线颈缩（V01）、漏钻孔（V03）等严重影响使用的致命缺陷时应判报废，不得判接收。 | 检测记录表D-5 | 2 | 
 | 记录规范（合计1） | J | 版本丝印与实物一致、单位mm、表头完整、无姓名单位等身份信息得1分；明显缺项得0分。 | 检测记录表 | 1 | 
总分 |  |  |  |  |  | 
说明：1.本表与技术工作文件0721定稿及第三套样题配套；总成绩A30+B25+C20+D25=100。2.M=测量分，J=评价分。3.各模块得分及总分保留两位小数，四舍五入。4.并列：先比操作技能(B+C+D)，再比D→C→B。5.模块D正式满分25分（不以40分计）。6.标准答案与尺寸/电气真值以赛前锁版及投板三测为准。 |  |  |  |  |  | 
